,Weight,Screen_size,resolution1,resolution2,CPU_Brand,RAM,storage_amount,Storage_type,GPU_Brand,OS,Predicted_Class
0,1.8,15.6,1080.0,1920.0,2,12,524,2,5,2,5
1,1.8,15.6,1080.0,1920.0,2,12,2622,1,5,2,0
2,1.8,15.6,1080.0,1920.0,2,16,2622,1,5,2,0
3,1.8,15.6,1080.0,1920.0,2,8,524,2,5,2,5
4,1.8,15.6,1080.0,1920.0,2,16,524,2,5,2,5
5,1.8,15.6,1080.0,1920.0,2,24,1000,2,5,2,6
6,1.8,15.6,1080.0,1920.0,2,24,524,2,5,2,5
7,1.9,15.6,1080.0,1920.0,2,16,5244,1,5,2,4
8,1.9,15.6,1080.0,1920.0,2,12,2622,1,5,2,0
9,1.75,15.6,1080.0,1920.0,2,12,1312,1,5,2,6
10,1.75,15.6,1080.0,1920.0,2,16,2622,1,5,2,0
11,1.75,15.6,1080.0,1920.0,2,16,2622,1,5,2,0
12,1.8,15.6,1080.0,1920.0,2,8,2622,1,5,2,0
13,1.7,15.6,1080.0,1920.0,2,8,1000,1,5,2,6
14,1.9,15.6,1080.0,1920.0,2,12,1000,0,5,2,6
15,1.75,15.6,1080.0,1920.0,2,12,2622,1,5,2,0
16,1.75,15.6,1080.0,1920.0,2,8,1312,1,5,2,6
17,1.9,15.6,1080.0,1920.0,2,8,1000,0,5,2,6
18,1.9,15.6,1080.0,1920.0,2,12,2622,1,5,2,0
19,1.99,15.6,1080.0,1920.0,2,16,5244,1,5,2,4
20,1.99,15.6,1080.0,1920.0,2,16,2623,1,5,2,0
21,1.8,15.6,1080.0,1920.0,2,16,1000,2,5,2,6
22,1.9,15.6,1080.0,1920.0,2,8,2622,1,5,2,0
23,1.8,15.6,1080.0,1920.0,2,12,2623,1,5,2,0
24,1.99,15.6,1080.0,1920.0,2,12,2622,1,5,2,0
25,1.7,15.6,1080.0,1920.0,2,8,1000,0,5,2,6
26,1.75,15.6,1080.0,1920.0,2,8,1312,1,5,2,6
27,1.99,15.6,1080.0,1920.0,2,24,1000,0,5,2,6
28,1.99,15.6,1080.0,1920.0,2,16,1312,1,5,2,6
29,1.8,15.6,1080.0,1920.0,2,16,2622,1,5,2,0
30,1.99,15.6,1080.0,1920.0,2,8,2459,1,5,2,0
31,1.9,15.6,1080.0,1920.0,2,8,2622,1,5,2,0
32,1.8,15.6,1080.0,1920.0,2,8,1000,0,5,2,6
33,1.75,15.6,1080.0,1920.0,2,8,2622,1,5,2,0
34,1.99,15.6,1080.0,1920.0,2,32,2460,1,5,2,0
35,1.75,15.6,1080.0,1920.0,2,16,1312,1,5,2,6
36,1.99,15.6,1080.0,1920.0,2,24,2459,1,5,2,0
37,1.99,15.6,1080.0,1920.0,2,16,4916,1,5,2,4
38,1.99,15.6,1080.0,1920.0,2,16,2459,1,5,2,0
39,1.8,15.6,1080.0,1920.0,2,8,2622,1,5,2,0
40,1.99,15.6,1080.0,1920.0,2,16,1230,1,5,2,6
