,ID,CPU_Name,CPU_Brand,CPU_Model,CPU_Speed
0,1,Intel Core i5 7Y54 1.2GHz,Intel,Core i5 7Y54,1.2
1,2,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5
2,3,Intel Core i5 6200U 2.3GHz,Intel,Core i5 6200U,2.3
3,4,AMD A4-Series 7210 2.2GHz,AMD,A4-Series 7210,2.2
4,5,AMD A12-Series 9720P 2.7GHz,AMD,A12-Series 9720P,2.7
5,6,Intel Atom X5-Z8350 1.44GHz,Intel,Atom X5-Z8350,1.44
6,7,AMD A6-Series 9220 2.5GHz,AMD,A6-Series 9220,2.5
7,8,AMD A12-Series 9700P 2.5GHz,AMD,A12-Series 9700P,2.5
8,9,AMD E-Series E2-6110 1.5GHz,AMD,E-Series E2-6110,1.5
9,10,Intel Pentium Dual Core N4200 1.1GHz,Intel,Pentium Dual Core N4200,1.1
10,11,AMD A10-Series 9620P 2.5GHz,AMD,A10-Series 9620P,2.5
11,12,Intel Pentium Quad Core N3710 1.6GHz,Intel,Pentium Quad Core N3710,1.6
12,13,AMD A6-Series A6-9220 2.5GHz,AMD,A6-Series A6-9220,2.5
13,14,Intel Core M 6Y54 1.1GHz,Intel,Core M 6Y54,1.1
14,15,AMD E-Series 7110 1.8GHz,AMD,E-Series 7110,1.8
15,16,Intel Atom x5-Z8550 1.44GHz,Intel,Atom x5-Z8550,1.44
16,17,AMD A12-Series 9720P 3.6GHz,AMD,A12-Series 9720P,3.6
17,18,AMD A9-Series 9420 3GHz,AMD,A9-Series 9420,3
18,19,Intel Core i3 6100U 2.3GHz,Intel,Core i3 6100U,2.3
19,20,AMD A6-Series 7310 2GHz,AMD,A6-Series 7310,2
20,21,Intel Pentium Quad Core N3700 1.6GHz,Intel,Pentium Quad Core N3700,1.6
21,22,Intel Core M 6Y75 1.2GHz,Intel,Core M 6Y75,1.2
22,23,AMD E-Series 6110 1.5GHz,AMD,E-Series 6110,1.5
23,24,Samsung Cortex A72&A53 2.0GHz,Samsung,Cortex A72&A53,2.0
24,25,Intel Core i7 6500U 2.5GHz,Intel,Core i7 6500U,2.5
25,26,Intel Core i7 7820HQ 2.9GHz,Intel,Core i7 7820HQ,2.9
26,27,Intel Core i5 1.3GHz,Intel,Core i5 1.,3
27,28,Intel Core M 1.2GHz,Intel,Core M 1.,2
28,29,AMD FX 9830P 3GHz,AMD,FX 9830P,3
29,30,Intel Celeron Dual Core N3060 1.6GHz,Intel,Celeron Dual Core N3060,1.6
30,31,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8
31,32,Intel Core M M7-6Y75 1.2GHz,Intel,Core M M7-6Y75,1.2
32,33,Intel Atom x5-Z8300 1.44GHz,Intel,Atom x5-Z8300,1.44
33,34,Intel Celeron Dual Core N3350 2GHz,Intel,Celeron Dual Core N3350,2
34,35,Intel Celeron Dual Core 3855U 1.6GHz,Intel,Celeron Dual Core 3855U,1.6
35,36,Intel Pentium Dual Core 4405U 2.1GHz,Intel,Pentium Dual Core 4405U,2.1
36,37,Intel Celeron Quad Core N3710 1.6GHz,Intel,Celeron Quad Core N3710,1.6
37,38,Intel Core i7 2.8GHz,Intel,Core i7 2.,8
38,39,AMD E-Series 9000 2.2GHz,AMD,E-Series 9000,2.2
39,40,AMD E-Series 9000e 1.5GHz,AMD,E-Series 9000e,1.5
40,41,Intel Core i3 7100U 2.4GHz,Intel,Core i3 7100U,2.4
41,42,Intel Xeon E3-1535M v5 2.9GHz,Intel,Xeon E3-1535M v5,2.9
42,43,Intel Core i5 7300HQ 2.5GHz,Intel,Core i5 7300HQ,2.5
43,44,Intel Celeron Quad Core N3450 1.1GHz,Intel,Celeron Quad Core N3450,1.1
44,45,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2
45,46,Intel Core i5 2.0GHz,Intel,Core i5 2.,0
46,47,Intel Celeron Dual Core N3350 2.0GHz,Intel,Celeron Dual Core N3350,2.0
47,48,Intel Core i5 6440HQ 2.6GHz,Intel,Core i5 6440HQ,2.6
48,49,Intel Core M m3 1.2GHz,Intel,Core M m3,1.2
49,50,Intel Core i3 6006U 2.2GHz,Intel,Core i3 6006U,2.2
