,ID,GPU_Name,GPU_Brand,GPU_Kind,GPU_Model
0,1,AMD Radeon R7 M445,AMD,Radeon,R7 M445
1,2,Nvidia GeForce GTX 965M,Nvidia,GeForce,GTX 965M
2,3,AMD R4 Graphics,AMD,R4,Graphics
3,4,Nvidia GeForce 150MX,Nvidia,GeForce,150MX
4,5,AMD Radeon R5 M430,AMD,Radeon,R5 M430
5,6,Nvidia Quadro M2000M,Nvidia,Quadro,M2000M
6,7,Intel HD Graphics 5300,Intel,HD,Graphics 5300
7,8,Intel HD Graphics 620,Intel,HD,Graphics 620
8,9,Intel HD Graphics 510,Intel,HD,Graphics 510
9,10,Nvidia Quadro M2200,Nvidia,Quadro,M2200
10,11,Nvidia GeForce GTX 960,Nvidia,GeForce,GTX 960
11,12,Intel UHD Graphics 620,Intel,UHD,Graphics 620
12,13,Intel HD Graphics 500,Intel,HD,Graphics 500
13,14,Intel Iris Graphics 540,Intel,Iris,Graphics 540
14,15,Nvidia GeForce GTX 940MX,Nvidia,GeForce,GTX 940MX
15,16,Intel HD Graphics 405,Intel,HD,Graphics 405
16,17,Intel HD Graphics 540,Intel,HD,Graphics 540
17,18,Nvidia Quadro M2200M,Nvidia,Quadro,M2200M
18,19,Nvidia GeForce 940MX,Nvidia,GeForce,940MX
19,20,Nvidia GeForce GTX 1050M,Nvidia,GeForce,GTX 1050M
20,21,AMD Radeon 530,AMD,Radeon,530
21,22,Nvidia Quadro M1200,Nvidia,Quadro,M1200
22,23,AMD Radeon R4 Graphics,AMD,Radeon,R4 Graphics
23,24,AMD Radeon RX 580,AMD,Radeon,RX 580
24,25,AMD Radeon R4,AMD,Radeon,R4
25,26,AMD Radeon R5 M330,AMD,Radeon,R5 M330
26,27,Nvidia GeForce 960M,Nvidia,GeForce,960M
27,28,AMD Radeon R9 M385,AMD,Radeon,R9 M385
28,29,AMD Radeon R5 520,AMD,Radeon,R5 520
29,30,AMD FirePro W4190M,AMD,FirePro,W4190M
30,31,Intel Iris Plus Graphics 640,Intel,Iris,Plus Graphics 640
31,32,Nvidia GeForce MX150,Nvidia,GeForce,MX150
32,33,Intel HD Graphics 630,Intel,HD,Graphics 630
33,34,Intel Iris Pro Graphics,Intel,Iris,Pro Graphics
34,35,Intel Iris Plus Graphics 650,Intel,Iris,Plus Graphics 650
35,36,Nvidia Quadro M620M,Nvidia,Quadro,M620M
36,37,Nvidia GeForce GTX 970M,Nvidia,GeForce,GTX 970M
37,38,AMD Radeon Pro 555,AMD,Radeon,Pro 555
38,39,Nvidia Quadro M3000M,Nvidia,Quadro,M3000M
39,40,AMD Radeon RX 560,AMD,Radeon,RX 560
40,41,AMD Radeon Pro 560,AMD,Radeon,Pro 560
41,42,Nvidia GeForce GTX 1050,Nvidia,GeForce,GTX 1050
42,43,Nvidia GeForce GTX 1050 Ti,Nvidia,GeForce,GTX 1050 Ti
43,44,AMD Radeon 520,AMD,Radeon,520
44,45,Intel HD Graphics 530,Intel,HD,Graphics 530
45,46,Nvidia GeForce GTX 960M,Nvidia,GeForce,GTX 960M
46,47,Intel HD Graphics 615,Intel,HD,Graphics 615
47,48,Nvidia GeForce 930M,Nvidia,GeForce,930M
48,49,Nvidia GeForce 920MX ,Nvidia,GeForce,920MX 
49,50,AMD Radeon R7 M465,AMD,Radeon,R7 M465
50,51,AMD Radeon R5 M315,AMD,Radeon,R5 M315
51,52,AMD Radeon R5,AMD,Radeon,R5
52,53,Intel HD Graphics 520,Intel,HD,Graphics 520
53,54,Nvidia GeForce GTX 1050Ti,Nvidia,GeForce,GTX 1050Ti
54,55,AMD Radeon R7 M360,AMD,Radeon,R7 M360
55,56,Nvidia GeForce GTX 980M,Nvidia,GeForce,GTX 980M
56,57,AMD Radeon R7,AMD,Radeon,R7
57,58,Nvidia GeForce 920,Nvidia,GeForce,920
58,59,AMD Radeon 540,AMD,Radeon,540
59,60,Intel HD Graphics 505,Intel,HD,Graphics 505
60,61,Nvidia GeForce 930MX ,Nvidia,GeForce,930MX 
61,62,AMD Radeon R7 M460,AMD,Radeon,R7 M460
62,63,Nvidia GeForce GTX 1070M,Nvidia,GeForce,GTX 1070M
63,64,Nvidia GeForce GTX 930MX,Nvidia,GeForce,GTX 930MX
64,65,Nvidia GeForce 930MX,Nvidia,GeForce,930MX
65,66,AMD Radeon R5 M420,AMD,Radeon,R5 M420
66,67,AMD FirePro W6150M,AMD,FirePro,W6150M
67,68,AMD R17M-M1-70,AMD,R17M-M1-70,null
68,69,Nvidia GeForce GTX1060,Nvidia,GeForce,GTX1060
69,70,AMD Radeon R2 Graphics,AMD,Radeon,R2 Graphics
70,71,Intel HD Graphics 620 ,Intel,HD,Graphics 620 
71,72,AMD Radeon R5 M420X,AMD,Radeon,R5 M420X
72,73,Nvidia Quadro M1000M,Nvidia,Quadro,M1000M
73,74,ARM Mali T860 MP4,ARM,Mali,T860 MP4
74,75,Nvidia GTX 980 SLI,Nvidia,GTX,980 SLI
75,76,Nvidia GeForce GTX1050 Ti,Nvidia,GeForce,GTX1050 Ti
76,77,AMD Radeon R3,AMD,Radeon,R3
77,78,Nvidia Quadro M500M,Nvidia,Quadro,M500M
78,79,Nvidia GeForce GTX 1070,Nvidia,GeForce,GTX 1070
79,80,Nvidia GeForce 920M,Nvidia,GeForce,920M
80,81,Nvidia GeForce GTX 950M,Nvidia,GeForce,GTX 950M
81,82,Intel HD Graphics 515,Intel,HD,Graphics 515
82,83,Nvidia GeForce GTX 940M,Nvidia,GeForce,GTX 940M
83,84,Intel HD Graphics 6000,Intel,HD,Graphics 6000
84,85,Nvidia GeForce MX130,Nvidia,GeForce,MX130
85,86,Nvidia GeForce GTX 980 ,Nvidia,GeForce,GTX 980 
86,87,Intel HD Graphics,Intel,HD,Graphics
87,88,AMD Radeon RX 540,AMD,Radeon,RX 540
88,89,AMD Radeon Pro 455,AMD,Radeon,Pro 455
89,90,Nvidia Quadro M620,Nvidia,Quadro,M620
90,91,AMD Radeon R7 M365X,AMD,Radeon,R7 M365X
91,92,AMD Radeon R7 M440,AMD,Radeon,R7 M440
92,93,Nvidia GeForce GT 940MX,Nvidia,GeForce,GT 940MX
93,94,AMD Radeon R5 430,AMD,Radeon,R5 430
94,95,AMD FirePro W5130M,AMD,FirePro,W5130M
95,96,AMD Radeon R7 Graphics,AMD,Radeon,R7 Graphics
96,97,Nvidia GeForce 940M,Nvidia,GeForce,940M
97,98,Intel Graphics 620,Intel,Graphics,620
98,99,Nvidia GeForce GTX 1080,Nvidia,GeForce,GTX 1080
99,100,Intel Iris Graphics 550,Intel,Iris,Graphics 550
100,101,Nvidia GeForce GTX 960<U+039C>,Nvidia,GeForce,GTX 960<U+039C>
101,102,Nvidia GeForce 920MX,Nvidia,GeForce,920MX
102,103,Nvidia GeForce GTX 1060,Nvidia,GeForce,GTX 1060
103,104,Nvidia Quadro M520M,Nvidia,Quadro,M520M
104,105,Intel HD Graphics 400,Intel,HD,Graphics 400
105,106,AMD Radeon RX 550,AMD,Radeon,RX 550
106,107,Nvidia Quadro 3000M,Nvidia,Quadro,3000M
107,108,AMD Radeon R2,AMD,Radeon,R2
108,109,AMD FirePro W4190M ,AMD,FirePro,W4190M 
109,110,Nvidia GeForce GTX1080,Nvidia,GeForce,GTX1080
