,Model_Name,Manufacturer_ID,Category_ID,Screen_Size,Screen_Type_ID,RAM,CPU_ID,GPU_ID,SSD_Storage,HDD_Storage,Weight,OS_ID,OS_Version_ID,ID
0,Vostro 3568,2,5,15.6,10,8,2,66,256,0,2.18,3,3,1
1,Yoga 720-13IKB,14,6,13.3,24,8,2,8,256,0,1.3,3,3,2
2,IdeaPad Y700-15ISK,14,5,15.6,31,8,81,46,0,1000,2.6,3,3,3
3,Inspiron 5370,2,4,13.3,31,8,31,21,256,0,1.4,3,3,4
4,Aspire E5-576G,4,5,15.6,10,4,2,19,256,0,2.23,3,3,5
5,IdeaPad Y700-15ACZ,14,3,15.6,31,16,74,28,512,1000,2.5,3,3,6
6,IdeaPad 320-15IKB,14,5,15.6,10,4,84,102,0,1000,2.2,3,3,7
7,ThinkPad E570,14,5,15.6,31,8,2,8,0,1000,2.3,3,3,8
8,Precision 3510,2,1,15.6,10,8,48,95,0,500,2.23,3,3,9
9,Legion Y520-15IKBN,14,3,15.6,31,4,54,42,0,1000,2.4,3,3,10
10,Probook 440,7,5,14.0,10,8,31,12,512,0,1.63,3,3,11
11,LifeBook A556,18,5,15.6,16,4,3,53,256,0,2.3,3,3,12
12,Chromebook X360,7,6,11.6,9,8,62,13,64,0,1.4,5,1,13
13,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),4,6,14.0,24,8,69,47,256,0,1.2,3,3,14
14,Vostro 5568,2,5,15.6,10,8,84,93,0,1000,1.98,3,3,15
15,VivoBook Pro,19,5,17.3,10,8,31,4,128,1000,2.1,3,3,16
16,Latitude 5480,2,5,14.0,10,8,2,71,128,0,1.6,3,3,17
17,15-AC110nv (i7-6500U/6GB/1TB/Radeon,7,5,15.6,16,6,25,26,0,1000,2.19,3,3,18
18,FX753VD-GC007T (i7-7700HQ/8GB/1TB,19,3,17.3,10,8,54,42,128,1000,3.0,3,3,19
19,GV62 7RD-1686NL,17,3,15.6,10,8,43,42,256,0,2.2,3,3,20
20,Vostro 3568,2,5,15.6,16,4,113,72,0,1000,2.18,3,3,21
