,Weight,Category,Screen_size,Screen_type,Screen_resolution,CPU_Brand,CPU_series,CPU_model,RAM,Storage_amount,Storage_type,Storage_info,GPU_Brand,GPU_Model,OS,original_price,after_discount,persian_info,full_info,discount_percent
0,1.24 KG,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 هسته ای,,74000000.0,73000000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Midnight MLY43  پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Midnight MLY43 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.35
1,1.24 KG,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 هسته ای,,74300000.0,73300000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Starlight MLY23 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Starlight MLY23 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.35
2,1.24 KG,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/8core GPU,8.0,262144.0,SSD,SSD NVMe,Apple,,,62300000.0,61300000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Silver MLXY3 پردازنده M2 رم 8GB حافظه 256GB SSD,Apple MacBook Air 2022 Silver MLXY3 M2 8GB 256GB SSD 13.6 inch Laptop,1.61
3,1.24 KG,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 هسته ای,,75300000.0,74300000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Space Gray MLXX3 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Space Gray MLXX3 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.33
4,1.75 KG,نوت بوک (لپ تاپ),15.6,FHD TN,1080 * 1920,INTEL,Core i3,I3-1115G4,20.0,524288.0,SSD,SSD NVMe,Intel,UHD,Dos,,17270000.0,لپ تاپ لنوو 15.6 اینچی مدل Ideapad 3 پردازنده Core i3 1115G4 رم 20GB حافظه 512GB SSD گرافیک Intel,Ideapad 3 Core i3 1115G4 20GB 512GB SSD Intel FHD Laptop,0.0
5,1.6 KG,مک‌بوک,14.2,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 8-core CPU,16.0,524288.0,SSD,,Apple,14core GPU16core Neural Engine200GB/s memory bandwidth,Apple Mac OS,106000000.0,105000000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGR3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 14‑inch MKGR3 M1 Pro 16GB 512GB SSD Laptop,0.94
6,1.6 KG,مک‌بوک,14.2,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 8-core CPU,16.0,524288.0,SSD,,Apple,14core GPU16core Neural Engine200GB/s memory bandwidth,Apple Mac OS,93100000.0,92100000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGP3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 14‑inch MKGP3 M1 Pro 16GB 512GB SSD Laptop,1.07
7,1.6 KG,مک‌بوک,14.2,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,1024.0,SSD,,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,Apple Mac OS,108888000.0,107888000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGQ3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD,Apple MacBook Pro 14‑inch MKGQ3 M1 Pro 16GB 1TB SSD Laptop,0.92
8,1.24 KG,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/8core GPU,8.0,262144.0,SSD,SSD NVMe,Apple,,,60500000.0,59500000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Space Gray MLXW3  پردازنده M2 رم 8GB حافظه 256GB SSD,Apple MacBook Air 2022 Space Gray MLXW3 M2 8GB 256GB SSD 13.6 inch Laptop,1.65
9,2.2 KG,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,524288.0,SSD,,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,Apple Mac OS,99500000.0,98500000.0,لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK1E3 پردازنده M1 Pro رم 16GB حافظه 512GB SSD,Apple MacBook Pro 16‑inch MK1E3 M1 Pro 16GB 512GB SSD Laptop,1.01
10,1.24 KG,مک‌بوک,13.6,13.6inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,8core CPU with 4 performance cores and 4 efficiency cores/10core GPU,8.0,524288.0,SSD,SSD NVMe,Apple,10 هسته ای,,74388000.0,73388000.0,لپ تاپ اپل 13.6 اینچی مدل Apple MacBook Air 2022 Silver MLY03 پردازنده M2 رم 8GB حافظه 512GB SSD گرافیک 10Core GPU,Apple MacBook Air 2022 Silver MLY03 M2 8GB 512GB SSD 10-Core GPU 13.6 inch Laptop,1.34
11,1.6 KG,مک‌بوک,14.2,Liquid Retina XDR display,3024*1964,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,1024.0,SSD,,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,Apple Mac OS,102888000.0,101888000.0,لپ تاپ اپل 14 اینچ مدل Mac Book Pro 14inch MKGT3 پردازنده M1 Pro رم 16GB حافظه 1TB SSD,Apple MacBook Pro 14‑inch MKGT3 M1 Pro 16GB 1TB SSD Laptop,0.97
12,2.2 KG,مک‌بوک,16.2,Liquid Retina XDR display,3456*2234,Apple,M1 Pro,M1 Pro with 10-core CPU,16.0,1024.0,SSD,,Apple,16core GPU16core Neural Engine200GB/s memory bandwidth,Apple Mac OS,105880000.0,104880000.0,لپ تاپ اپل 16 اینچ مدل Mac Book Pro 16inch MK193 پردازنده M1 Pro رم 16GB حافظه 1TB SSD,Apple MacBook Pro 16‑inch MK193 M1 Pro 16GB 1TB SSD Laptop,0.94
13,1.4 KG,مک‌بوک,13.3,13.3inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,262144.0,SSD,SSD NVMe,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,70000000.0,69000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEH3 پردازنده M2 رم 8GB حافظه 256GB SSD,"Apple MacBook Pro 2022 13.3"" MNEH3 M2 8GB 256GB SSD Laptop",1.43
14,1.4 KG,مک‌بوک,13.3,13.3inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,524288.0,SSD,SSD NVMe,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,76000000.0,75000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEJ3 پردازنده M2 رم 8GB حافظه 512GB SSD,"Apple MacBook Pro 2022 13.3"" MNEJ3 M2 8GB 512GB SSD Laptop",1.32
15,1.4 KG,مک‌بوک,13.3,13.3inch (diagonal) LED-backlit display with IPS technology,1600 * 2560,Apple,M2,"M2 chip with 8‑core CPU, 10‑core GPU, 16‑core Neural Engine",8.0,524288.0,SSD,SSD NVMe,Apple,10core GPU16-core Neural Engine100GB/s memory bandwidth,,76000000.0,75000000.0,لپ تاپ اپل 13.3 اینچی مدل Apple MacBook Pro 2022 MNEQ3 پردازنده M2 رم 8GB حافظه 512GB SSD,"Apple MacBook Pro 2022 13.3"" MNEQ3 M2 8GB 512GB SSD Laptop",1.32
