url,price_after_discount,original_price
/product/134403/lenovo-ideapad-3-core-i3-1115g4-20gb-512gb-ssd-intel-fhd-laptop/,"17,270,000 تومان",
/product/125330/apple-macbook-air-2022-space-gray-mlxw3-m2-8gb-256gb-ssd-13-6-inch-laptop/,"59,500,000 تومان","60,500,000 تومان"
/product/125331/apple-macbook-air-2022-silver-mlxy3-m2-8gb-256gb-ssd-13-6-inch-laptop/,"61,300,000 تومان","62,300,000 تومان"
/product/125332/apple-macbook-air-2022-midnight-mly43-m2-8gb-512gb-ssd-10-core-gpu-13-6-inch-lap/,"73,000,000 تومان","74,000,000 تومان"
/product/125333/apple-macbook-air-2022-starlight-mly23-m2-8gb-512gb-ssd-10-core-gpu-13-6-inch-la/,"73,300,000 تومان","74,300,000 تومان"
/product/125334/apple-macbook-air-2022-space-gray-mlxx3-m2-8gb-512gb-ssd-10-core-gpu-13-6-inch-l/,"74,300,000 تومان","75,300,000 تومان"
/product/125335/apple-macbook-air-2022-silver-mly03-m2-8gb-512gb-ssd-10-core-gpu-13-6-inch-lapto/,"73,388,000 تومان","74,388,000 تومان"
/product/122111/apple-macbook-pro-14inch-mkgp3-m1-pro-16gb-512gb-ssd-laptop/,"92,100,000 تومان","93,100,000 تومان"
/product/122112/apple-macbook-pro-14inch-mkgr3-m1-pro-16gb-512gb-ssd-laptop/,"105,000,000 تومان","106,000,000 تومان"
/product/122113/apple-macbook-pro-14inch-mkgq3-m1-pro-16gb-1tb-ssd-laptop/,"107,888,000 تومان","108,888,000 تومان"
/product/122114/apple-macbook-pro-14inch-mkgt3-m1-pro-16gb-1tb-ssd-laptop/,"101,888,000 تومان","102,888,000 تومان"
/product/122115/apple-macbook-pro-16inch-mk183-m1-pro-16gb-512gb-ssd-laptop/,"97,880,000 تومان",
/product/122116/apple-macbook-pro-16inch-mk1e3-m1-pro-16gb-512gb-ssd-laptop/,"98,500,000 تومان","99,500,000 تومان"
/product/122117/apple-macbook-pro-16inch-mk193-m1-pro-16gb-1tb-ssd-laptop/,"104,880,000 تومان","105,880,000 تومان"
/product/114682/apple-macbook-air-mgn63-2020-m1-256-13-inch-laptop/,"46,338,000 تومان","47,338,000 تومان"
/product/125673/apple-macbook-pro-2022-13-3-mnep3-m2-8gb-256gb-ssd-laptop/,"69,000,000 تومان","70,000,000 تومان"
/product/125674/apple-macbook-pro-2022-13-3-mneh3-m2-8gb-256gb-ssd-laptop/,"69,000,000 تومان","70,000,000 تومان"
/product/125675/apple-macbook-pro-2022-13-3-mnej3-m2-8gb-512gb-ssd-laptop/,"75,000,000 تومان","76,000,000 تومان"
/product/125676/apple-macbook-pro-2022-13-3-mneq3-m2-8gb-512gb-ssd-laptop/,"75,000,000 تومان","76,000,000 تومان"
