,Model_Name,Manufacturer_ID,Category_ID,Screen_Size_ID,Screen_Type_ID,RAM,CPU_ID,GPU_ID,SSD_Storage,HDD_Storage,Weight,OS_ID,OS_Version_ID,ID
0,Vostro 3568,4,6,7,18,8,112,13,256,0,2.18,4,2,1
1,Yoga 720-13IKB,14,5,5,24,8,112,25,256,0,1.3,4,2,2
2,IdeaPad Y700-15ISK,14,6,7,8,8,70,48,0,1000,2.6,4,2,3
3,Inspiron 5370,4,3,5,8,8,91,68,256,0,1.4,4,2,4
4,Aspire E5-576G,15,6,7,18,4,112,97,256,0,2.23,4,2,5
5,IdeaPad Y700-15ACZ,14,2,7,8,16,95,30,512,1000,2.5,4,2,6
6,IdeaPad 320-15IKB,14,6,7,18,4,34,93,0,1000,2.2,4,2,7
7,ThinkPad E570,14,6,7,8,8,112,25,0,1000,2.3,4,2,8
8,Precision 3510,4,4,7,18,8,63,4,0,500,2.23,4,2,9
9,Legion Y520-15IKBN,14,2,7,8,4,82,89,0,1000,2.4,4,2,10
10,Probook 440,1,6,6,18,8,91,56,512,0,1.63,4,2,11
11,LifeBook A556,17,6,7,27,4,96,95,256,0,2.3,4,2,12
12,Chromebook X360,1,5,3,12,8,15,74,64,0,1.4,6,1,13
13,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),15,5,6,24,8,21,87,256,0,1.2,4,2,14
14,Vostro 5568,4,6,7,18,8,34,11,0,1000,1.98,4,2,15
15,VivoBook Pro,8,6,9,18,8,91,47,128,1000,2.1,4,2,16
16,Latitude 5480,4,6,6,18,8,112,40,128,0,1.6,4,2,17
17,15-AC110nv (i7-6500U/6GB/1TB/Radeon,1,6,7,27,6,75,63,0,1000,2.19,4,2,18
18,FX753VD-GC007T (i7-7700HQ/8GB/1TB,8,2,9,18,8,82,89,128,1000,3.0,4,2,19
19,GV62 7RD-1686NL,9,2,7,18,8,69,89,256,0,2.2,4,2,20
20,Vostro 3568,4,6,7,27,4,77,53,0,1000,2.18,4,2,21
21,Yoga 500-14ISK,14,5,6,24,4,75,95,128,0,1.8,4,2,22
22,Spectre X360,1,3,5,8,8,34,25,256,0,1.32,4,2,23
23,Inspiron 7570,4,3,7,8,8,56,97,128,1000,1.9,4,2,24
24,Inspiron 5568,4,5,7,24,4,78,95,0,1000,2.08,4,2,25
25,Pro P2540UA-AB51,8,6,7,18,8,112,25,0,1000,2.37,4,2,26
