,ID,ScreenType_Name
0,1,IPS Panel Full HD 1920x1200
1,2,2560x1440
2,3,Touchscreen 2560x1440
3,4,IPS Panel 4K Ultra HD 3840x2160
4,5,IPS Panel Quad HD+ 3200x1800
5,6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160
6,7,1600x900
7,8,IPS Panel Full HD 1920x1080
8,9,Touchscreen 2400x1600
9,10,IPS Panel Quad HD+ 2560x1440
10,11,IPS Panel Touchscreen 1366x768
11,12,Touchscreen 1366x768
12,13,IPS Panel 2560x1440
13,14,Touchscreen / Quad HD+ 3200x1800
14,15,IPS Panel Full HD 2160x1440
15,16,Quad HD+ / Touchscreen 3200x1800
16,17,IPS Panel Touchscreen 2560x1440
17,18,Full HD 1920x1080
18,19,1440x900
19,20,IPS Panel Retina Display 2880x1800
20,21,Touchscreen 2256x1504
21,22,IPS Panel Full HD 1366x768
22,23,IPS Panel Retina Display 2304x1440
23,24,IPS Panel Full HD / Touchscreen 1920x1080
24,25,IPS Panel 4K Ultra HD / Touchscreen 3840x2160
25,26,IPS Panel Retina Display 2560x1600
26,27,1366x768
27,28,IPS Panel Touchscreen 2400x1600
28,29,Quad HD+ 3200x1800
29,30,4K Ultra HD 3840x2160
30,31,Touchscreen / Full HD 1920x1080
31,32,Touchscreen / 4K Ultra HD 3840x2160
32,33,IPS Panel Full HD 2560x1440
33,34,4K Ultra HD / Touchscreen 3840x2160
34,35,IPS Panel Retina Display 2736x1824
35,36,Full HD / Touchscreen 1920x1080
36,37,IPS Panel Quad HD+ / Touchscreen 3200x1800
37,38,1920x1080
38,39,IPS Panel 1366x768
39,40,IPS Panel Touchscreen 1920x1200
