,Weight,Screen_size,resolution1,resolution2,CPU_Brand,RAM,storage_amount,Storage_type,GPU_Brand,OS,Pred_Class
1,0.69,10.1,1920.0,1200.0,2,4,64,2,3,6,5
2,0.81,13.3,1920.0,1080.0,2,8,256,2,3,6,5
3,0.81,13.3,1920.0,1080.0,2,16,256,2,3,6,8
4,0.91,12.5,1920.0,1080.0,2,16,512,2,3,6,8
5,0.92,12.0,2304.0,1440.0,2,8,256,2,3,2,8
6,0.92,12.0,2304.0,1440.0,2,8,512,2,3,2,8
7,0.97,12.5,1920.0,1080.0,2,8,512,2,3,6,5
8,0.97,12.5,3840.0,2160.0,2,8,512,2,3,6,8
9,0.98,11.6,1366.0,768.0,2,2,32,2,3,6,5
10,0.98,14.0,1920.0,1080.0,2,8,512,2,3,6,8
11,0.99,12.5,2560.0,1440.0,2,8,512,2,3,6,8
12,1.05,13.0,2160.0,1440.0,2,8,256,2,3,6,8
13,1.05,13.0,2160.0,1440.0,2,8,512,2,3,6,8
14,1.05,13.3,1920.0,1080.0,2,4,128,2,3,6,5
15,1.05,13.3,1920.0,1080.0,2,8,256,2,3,6,5
16,1.05,13.3,1920.0,1080.0,2,16,512,2,3,6,8
17,1.05,13.3,1920.0,1080.0,2,32,512,2,3,6,8
18,1.08,11.6,1366.0,768.0,2,4,256,2,3,2,5
19,1.08,15.6,1920.0,1080.0,2,16,512,2,3,6,8
20,1.09,12.5,3840.0,2160.0,2,8,240,2,3,6,8
21,1.09,15.6,1920.0,1080.0,2,8,512,2,3,6,8
22,1.1,11.3,1920.0,1080.0,2,8,256,2,3,6,5
23,1.1,11.6,1366.0,768.0,2,2,32,2,3,6,5
27,1.1,12.5,1920.0,1080.0,2,8,512,2,3,6,5
28,1.1,13.3,1920.0,1080.0,2,8,256,2,3,6,5
29,1.1,13.3,1920.0,1080.0,2,8,1024,1,3,6,3
30,1.1,13.3,1920.0,1080.0,2,16,512,2,3,6,8
31,1.1,14.0,1920.0,1080.0,2,8,256,2,3,6,8
32,1.1,14.0,1920.0,1080.0,2,8,512,2,3,6,8
33,1.1,14.0,1920.0,1080.0,2,16,512,2,3,6,8
34,1.1,14.0,2560.0,1440.0,2,16,256,2,3,6,8
35,1.1,14.0,2560.0,1440.0,2,16,512,2,3,6,8
36,1.11,13.3,1920.0,1080.0,2,8,256,2,3,6,5
37,1.12,13.3,1920.0,1080.0,2,8,256,2,3,6,5
38,1.13,14.0,1920.0,1080.0,2,8,256,2,3,6,8
39,1.13,14.0,1920.0,1080.0,2,8,512,2,3,6,8
40,1.13,14.0,2560.0,1440.0,2,8,512,2,3,6,8
41,1.13,14.0,2560.0,1440.0,2,16,1000,2,3,6,8
42,1.14,14.0,1920.0,1080.0,2,16,512,2,3,6,8
43,1.15,11.6,1366.0,768.0,2,2,32,2,3,6,5
46,1.16,11.6,1920.0,1080.0,2,4,32,2,3,6,5
47,1.16,13.3,1920.0,1080.0,2,8,256,2,3,6,5
48,1.16,13.3,1920.0,1080.0,2,8,512,2,3,6,5
49,1.16,13.3,3200.0,1800.0,2,8,256,2,3,6,8
50,1.16,13.3,3200.0,1800.0,2,16,512,2,3,6,5
51,1.17,11.6,1366.0,768.0,2,2,32,2,3,6,5
52,1.17,14.0,2560.0,1440.0,2,8,512,2,3,6,8
53,1.17,15.0,1920.0,1080.0,2,8,256,2,3,6,5
54,1.18,12.5,1920.0,1080.0,2,16,256,2,3,6,8
55,1.19,13.3,1920.0,1080.0,2,8,512,2,3,6,5
57,1.2,11.6,1366.0,768.0,2,4,64,2,3,6,5
60,1.2,13.3,1366.0,768.0,2,8,256,2,3,6,5
61,1.2,13.3,1920.0,1080.0,2,4,32,2,3,6,5
62,1.2,13.3,1920.0,1080.0,2,4,128,2,3,6,5
63,1.2,13.3,1920.0,1080.0,2,8,256,2,3,6,5
64,1.2,13.3,1920.0,1080.0,2,8,512,2,3,6,5
65,1.2,13.3,1920.0,1080.0,2,16,512,2,3,6,8
66,1.2,13.3,3200.0,1800.0,2,8,256,2,3,6,8
67,1.2,13.3,3200.0,1800.0,2,16,512,2,3,6,5
68,1.2,13.3,3200.0,1800.0,2,16,1000,2,3,6,8
69,1.2,14.0,1920.0,1080.0,2,8,256,2,3,6,8
70,1.21,13.3,1920.0,1080.0,2,8,256,2,3,6,5
71,1.21,13.3,3840.0,2160.0,2,8,128,2,3,6,8
72,1.21,13.3,3840.0,2160.0,2,8,256,2,3,6,8
73,1.21,13.3,3840.0,2160.0,2,16,1000,2,3,6,8
74,1.22,13.3,1920.0,1080.0,2,8,128,2,3,6,5
75,1.22,13.3,1920.0,1080.0,2,16,256,2,3,6,8
76,1.22,13.3,3200.0,1800.0,2,16,512,2,3,6,5
77,1.22,14.0,1920.0,1080.0,2,4,32,2,3,6,5
79,1.23,13.3,1920.0,1080.0,2,8,256,2,3,6,5
81,1.23,13.3,3200.0,1800.0,2,8,256,2,3,6,8
82,1.23,15.0,1920.0,1080.0,2,16,256,2,4,6,7
83,1.24,13.3,1920.0,1080.0,2,8,256,2,3,6,5
84,1.24,13.3,3200.0,1800.0,2,8,256,2,3,6,8
85,1.24,13.3,3200.0,1800.0,2,8,512,2,3,6,8
86,1.24,14.0,1920.0,1080.0,2,16,512,2,3,6,8
89,1.25,11.6,1920.0,1080.0,2,4,32,2,3,6,5
90,1.25,12.5,3840.0,2160.0,2,8,256,2,3,6,8
91,1.25,13.5,2256.0,1504.0,2,8,256,2,3,6,8
92,1.25,13.5,2256.0,1504.0,2,16,512,2,3,6,8
93,1.25,14.0,1366.0,768.0,2,4,128,2,3,6,5
94,1.25,14.0,1920.0,1080.0,2,8,256,2,3,6,8
95,1.252,13.5,2256.0,1504.0,2,4,128,2,3,6,8
96,1.252,13.5,2256.0,1504.0,2,8,256,2,3,6,8
98,1.26,12.5,1366.0,768.0,2,4,256,2,3,6,5
99,1.26,12.5,1366.0,768.0,2,8,256,2,3,6,5
100,1.26,12.5,1920.0,1080.0,2,4,500,0,3,6,3
101,1.26,12.5,1920.0,1080.0,2,8,256,2,3,6,5
102,1.26,12.5,1920.0,1080.0,2,8,512,2,3,6,5
103,1.26,13.3,1920.0,1080.0,2,8,256,2,3,6,5
104,1.27,13.3,1920.0,1080.0,2,8,256,2,3,6,5
105,1.27,14.0,2560.0,1440.0,2,8,256,2,3,6,8
106,1.28,13.3,1920.0,1080.0,2,4,256,2,3,6,5
107,1.28,13.3,1920.0,1080.0,2,8,256,2,3,6,5
108,1.28,13.3,1920.0,1080.0,2,8,256,2,4,6,5
109,1.28,13.3,1920.0,1080.0,2,16,256,2,3,6,5
110,1.29,12.5,3840.0,2160.0,2,16,512,2,3,6,8
111,1.29,13.3,1920.0,1080.0,2,8,128,2,3,6,5
112,1.29,13.3,1920.0,1080.0,2,8,256,2,3,6,5
114,1.29,13.3,3200.0,1800.0,2,8,256,2,3,6,8
115,1.29,13.3,3200.0,1800.0,2,16,512,2,3,6,8
116,1.29,13.3,3840.0,2160.0,2,8,256,2,3,6,8
117,1.29,13.3,3840.0,2160.0,2,8,512,2,3,6,8
118,1.29,13.3,3840.0,2160.0,2,16,1000,2,3,6,8
120,1.3,12.5,1366.0,768.0,2,8,1000,2,3,6,6
121,1.3,12.5,1920.0,1080.0,2,8,256,2,3,6,5
122,1.3,12.5,1920.0,1080.0,2,16,512,2,3,6,5
123,1.3,13.3,1920.0,1080.0,2,8,256,2,3,6,5
125,1.3,13.3,3200.0,1800.0,2,8,256,2,3,6,8
126,1.3,13.3,3200.0,1800.0,2,16,512,2,3,6,8
127,1.3,13.3,3200.0,1800.0,2,16,1000,2,3,6,8
128,1.3,13.3,3840.0,2160.0,2,16,512,2,3,6,8
129,1.3,14.0,1366.0,768.0,2,4,128,2,3,6,5
130,1.3,14.0,1920.0,1080.0,2,4,32,2,3,6,5
131,1.3,14.0,1920.0,1080.0,2,8,256,2,4,6,7
132,1.3,14.0,1920.0,1080.0,2,16,512,2,4,6,7
133,1.31,13.3,1920.0,1080.0,2,8,256,2,3,6,5
134,1.32,13.3,1920.0,1080.0,2,4,256,2,3,6,5
135,1.32,13.3,1920.0,1080.0,2,8,256,2,3,6,5
136,1.32,14.0,1920.0,1080.0,2,8,256,2,3,6,5
137,1.32,14.0,2560.0,1440.0,2,24,512,2,3,6,8
